geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,competitor_activity_score_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,conversions,revenue_per_conversion,population,Channel3_reach,Channel3_frequency
Geo0,6/7/21,1190663,743244,982859,822510,-0.8833791,2.1552646,13237.811,8497.952,11737.532,9673.217,12584751,0.035120923,487878,397280,2.0703535
Geo0,6/14/21,1174282,167579,568815,377975,2.9646068,3.0548773,13055.687,1916.0308,6792.922,4445.2153,14225372,0.034729816,487878,262774,1.4384034
Geo0,6/21/21,868107,242709,391642,298052,1.1432811,-1.8577988,9651.628,2775.0369,4677.0806,3505.2725,9688958,0.03502405,487878,222233,1.341169
Geo0,6/28/21,729061,642345,3580,973436,0.7024328,0.9792609,8105.712,7344.3135,42.753197,11448.198,10198388,0.034752145,487878,421869,2.3074367
Geo0,7/5/21,1540727,884685,618683,1250577,-2.7440462,1.2443475,17129.828,10115.132,7388.457,14707.545,11105925,0.034975767,487878,450240,2.7775786
Geo0,7/12/21,1140822,549423,796295,542505,-0.25896758,-0.2322037,12683.678,6281.881,9509.541,6380.1885,10771714,0.034716867,487878,326851,1.659793
Geo0,7/19/21,1374597,878404,300063,519166,2.4708767,-3.104467,15282.792,10043.317,3583.4226,6105.7075,7034872.5,0.034559097,487878,319697,1.6239314
Geo0,7/26/21,799264,0,24035,119184,-6.3752327,-2.8423827,8886.23,0,287.0316,1401.6763,4515535.5,0.034544267,487878,105396,1.1308209
Geo0,8/2/21,982391,602074,1118258,894369,0.67196715,-5.2118034,10922.239,6883.871,13354.499,10518.322,8580429,0.03526869,487878,409934,2.181739
Geo0,8/9/21,767845,1412655,719930,310371,-0.45385385,-0.15686283,8536.913,16151.728,8597.572,3650.1514,11538626,0.034692287,487878,229993,1.3494802
Geo0,8/16/21,1001167,885129,819632,442693,1.4696546,4.4966373,11130.991,10120.208,9788.237,5206.3384,14107673,0.034607712,487878,290828,1.5221815
Geo0,8/23/21,973894,609269,193551,236089,0.86223054,0.89282745,10827.77,6966.136,2311.4314,2776.55,9759205,0.034956228,487878,187018,1.2623866
Geo0,8/30/21,800941,496539,395112,364182,-0.5929203,1.690523,8904.875,5677.2266,4718.52,4283.0015,11797897,0.034625452,487878,256714,1.4186293
Geo0,9/6/21,986920,601211,288628,85347,-1.3852,-1.4270362,10972.593,6874.004,3446.863,1003.73254,7631375.5,0.034500923,487878,78161,1.0919384
Geo0,9/13/21,1045411,949066,870574,591383,-0.92535406,-0.9956669,11622.896,10851.238,10396.599,6955.0234,9940456,0.0353466,487878,342930,1.7245007
Geo0,9/20/21,684107,1246042,468040,524557,1.9412694,1.7110512,7605.9126,14246.742,5589.4434,6169.109,13809554,0.03484658,487878,321296,1.6326284
Geo0,9/27/21,1037065,888461,707844,499409,0.01974862,0.5250268,11530.105,10158.305,8453.238,5873.353,10230962,0.0348124,487878,312957,1.5957751
Geo0,10/4/21,999555,928263,400748,726031,1.1954521,-0.6759536,11113.068,10613.385,4785.826,8538.565,10211041,0.03490834,487878,377778,1.9218457
Geo0,10/11/21,1420469,427347,960642,188009,4.009613,-1.9887056,15792.797,4886.1133,11472.212,2211.1,11526324,0.034622807,487878,156951,1.1978834
Geo0,10/18/21,1429006,498451,795100,0,-3.020487,-2.9955044,15887.712,5699.088,9495.2705,0,7982989,0.035284333,487878,0,0
Geo0,10/25/21,1710719,637181,462917,849718,0.80901456,3.1521616,19019.8,7285.2705,5528.263,9993.2,16495571,0.03494097,487878,402415,2.1115465
Geo0,11/1/21,1071116,260321,581573,550943,1.0499256,-0.20981804,11908.685,2976.4053,6945.281,6479.4243,10241399,0.03525566,487878,330156,1.6687354
Geo0,11/8/21,705460,1462389,689886,459329,2.9826574,-2.572803,7843.316,16720.365,8238.78,5401.988,10495561,0.035146244,487878,297892,1.5419313
Geo0,11/15/21,1111544,481646,331062,0,6.557312,0.93903875,12358.164,5506.9463,3953.6199,0,12906735,0.03539048,487878,0,0
Geo0,11/22/21,1106783,849458,160554,519251,-0.6377488,0.77324605,12305.231,9712.36,1917.3734,6106.707,11255934,0.0352544,487878,319241,1.6265173
Geo0,11/29/21,994506,499607,0,752403,0.110067114,3.9709153,11056.934,5712.305,0,8848.716,12940387,0.034830816,487878,383334,1.962787
Geo0,12/6/21,1109878,742289,674555,407486,0.17077251,3.7500615,12339.642,8487.033,8055.6934,4792.2827,14121214,0.035291042,487878,276498,1.4737394
Geo0,12/13/21,639144,1107794,448510,491035,-8.984646,0.96255565,7106.013,12666.07,5356.2114,5774.8696,6763680,0.035004158,487878,309683,1.5856053
Geo0,12/20/21,537626,831722,1068308,302926,-1.2017881,2.4133317,5977.3345,9509.574,12757.984,3562.5938,12455675,0.03472023,487878,226032,1.3401908
Geo0,12/27/21,1019623,752009,604501,412051,1.4421813,0.7018125,11336.185,8598.168,7219.0923,4845.97,10854740,0.034597635,487878,278389,1.4801267
Geo0,1/3/22,1152384,1467891,561045,925215,-0.40018523,0.021652488,12812.224,16783.273,6700.1304,10881.091,12945586,0.034734663,487878,414962,2.2296379
Geo0,1/10/22,1356721,697909,23016,0,-2.8459795,0.17685345,15084.046,7979.61,274.86246,0,11006675,0.035105214,487878,0,0
Geo0,1/17/22,1101688,1041115,363664,265774,-1.1298555,3.042983,12248.585,11903.689,4342.9604,3125.6636,14251472,0.034579296,487878,204589,1.299063
Geo0,1/24/22,1378612,1054988,223519,308406,-1.5304012,7.077758,15327.431,12062.308,2669.3162,3627.042,15035441,0.034772977,487878,228789,1.3479931
Geo0,1/31/22,1051211,416144,247132,276846,2.8373485,4.0836153,11687.381,4758.0225,2951.308,3255.8772,15764402,0.03464894,487878,210837,1.3130807
Geo0,2/7/22,1265498,189574,754651,935025,-0.468247,-1.3622383,14069.827,2167.5127,9012.219,10996.462,10198886,0.03458928,487878,415971,2.247813
Geo0,2/14/22,1005040,410268,335683,574002,-1.4934696,0.7031538,11174.051,4690.839,4008.805,6750.6123,10934939,0.0345036,487878,337697,1.6997545
Geo0,2/21/22,993135,639579,544728,305128,2.6873255,2.97574,11041.691,7312.6885,6505.269,3588.4907,11504179,0.034682382,487878,227023,1.34404
Geo0,2/28/22,1330706,530351,216884,0,1.3808153,1.2278712,14794.811,6063.8193,2590.0793,0,10445889,0.034822594,487878,0,0
Geo0,3/7/22,1470149,402688,327250,537466,0.42699993,1.3780915,16345.141,4604.1724,3908.096,6320.927,11645227,0.034795795,487878,326022,1.6485574
Geo0,3/14/22,1244850,619706,401256,546039,-1.4846193,4.322425,13840.263,7085.4683,4791.893,6421.7505,12877754,0.035253845,487878,328462,1.6624115
Geo0,3/21/22,681003,1107002,690672,468091,-0.7599183,0.8022772,7571.4023,12657.015,8248.167,5505.0347,10089079,0.03494923,487878,300971,1.5552695
Geo0,3/28/22,1101470,0,622588,445056,-3.2713015,0.22938493,12246.161,0,7435.0913,5234.129,6656772,0.035161577,487878,292351,1.5223345
Geo0,4/4/22,1310684,707608,649852,829827,2.0314033,-5.059271,14572.206,8090.5044,7760.6846,9759.27,6294681.5,0.03510435,487878,398560,2.082063
Geo0,4/11/22,1352505,524565,379972,816498,0.63692594,1.2940869,15037.173,5997.6646,4537.7144,9602.513,13303138,0.03494343,487878,396479,2.0593727
Geo0,4/18/22,1082708,829247,239723,93410,-3.0412254,0.9948337,12037.565,9481.275,2862.8281,1098.5583,9842364,0.0345984,487878,85291,1.0951917
Geo0,4/25/22,1065568,1034446,555667,850357,-1.6489052,-3.47333,11847.002,11827.438,6635.9053,10000.715,7795099.5,0.0349396,487878,402743,2.1114135
Geo0,5/2/22,700105,14509,433027,1073652,0.82436675,-1.050614,7783.779,165.89006,5171.3096,12626.8,9897081,0.03451095,487878,433949,2.4741433
Geo0,5/9/22,614591,1185463,895044,865066,2.3604228,-2.0860896,6833.0327,13554.105,10688.825,10173.701,9220324,0.03476889,487878,404985,2.1360445
Geo0,5/16/22,1035152,828758,489486,1208444,-7.4171505,3.8044777,11508.837,9475.685,5845.556,14212.035,13288967,0.034814637,487878,447060,2.7030914
Geo0,5/23/22,921036,703289,392902,564475,0.38071847,-0.42849362,10240.093,8041.123,4692.1274,6638.569,11747777,0.035266384,487878,334655,1.6867371
Geo0,5/30/22,1179182,1054036,154159,632388,0.024516806,-1.0092143,13110.165,12051.423,1841.0028,7437.267,9495659,0.03465498,487878,354389,1.7844459
Geo0,6/6/22,691322,816616,420137,0,4.36132,-0.59779185,7686.1294,9336.858,5017.3745,0,10503168,0.034641933,487878,0,0
Geo0,6/13/22,1258214,1174783,567798,398163,2.7624707,3.3444421,13988.844,13431.995,6780.7764,4682.6387,13680087,0.03523669,487878,271705,1.465424
Geo0,6/20/22,1025421,170398,486327,12224,1.8343467,-1.3772845,11400.647,1948.262,5807.8306,143.76166,9211273,0.035459965,487878,11922,1.0253314
Geo0,6/27/22,867162,189717,655409,50572,-0.17604735,-1.267353,9641.121,2169.1477,7827.0474,594.75745,6604001,0.035283204,487878,48092,1.0515678
Geo0,7/4/22,954451,916259,584526,203691,-0.75003487,5.263368,10611.602,10476.136,6980.5464,2395.5298,13327677,0.034505203,487878,166623,1.2224662
Geo0,7/11/22,828539,246567,364025,577729,0.023797665,5.824371,9211.71,2819.1477,4347.2715,6794.444,13811242,0.034904722,487878,338474,1.7068638
Geo0,7/18/22,1344101,981075,671131,617479,-1.597481,3.969442,14943.736,11217.216,8014.803,7261.928,13766553,0.034980044,487878,349817,1.7651486
Geo0,7/25/22,1169174,0,864026,954747,1.1168487,-0.834834,12998.8955,0,10318.4,11228.404,9393653,0.035277978,487878,418969,2.278801
Geo0,8/1/22,1007566,397197,658105,343049,-3.8923137,-0.12129948,11202.135,4541.39,7859.2437,4034.4646,7819833,0.035422586,487878,246195,1.3934036
Geo0,8/8/22,1064678,1349363,848502,1303524,-0.19461945,4.560533,11837.107,15428.072,10133.01,15330.234,15792002,0.035459984,487878,454094,2.8706038
Geo0,8/15/22,1045597,771943,440640,268319,4.149506,-0.8823028,11624.965,8826.085,5262.226,3155.5945,12828282,0.03518042,487878,207060,1.2958515
Geo0,8/22/22,1101414,904718,759112,317299,1.4768502,2.5015118,12245.539,10344.181,9065.493,3731.629,14230725,0.03479299,487878,233139,1.3609864
Geo0,8/29/22,1532517,1141167,558555,133001,-3.9427092,1.7781789,17038.549,13047.644,6670.3945,1564.1725,10095035,0.034998357,487878,116204,1.1445475
Geo0,9/5/22,1440632,611063,210219,882937,-1.5244013,-0.10581997,16016.97,6986.648,2510.4844,10383.875,8995222,0.034511592,487878,407657,2.165882
Geo0,9/12/22,1189291,464198,1072365,594127,3.8329792,3.4175098,13222.557,5307.4526,12806.434,6987.2944,14132497,0.035434593,487878,343779,1.7282237
Geo0,9/19/22,1045740,991352,434915,638545,-2.3535492,0.8615966,11626.555,11334.719,5193.8564,7509.6772,12292168,0.034595072,487878,355994,1.7936959
Geo0,9/26/22,68688,602423,1138174,147832,-0.93044996,-5.065188,763.6743,6887.862,13592.34,1738.5941,7497542.5,0.03507587,487878,127610,1.1584672
Geo0,10/3/22,1377105,1129746,1128684,1204326,-7.1396055,-0.7934401,15310.676,12917.061,13479.009,14163.605,7715969.5,0.035317607,487878,446721,2.6959243
Geo0,10/10/22,632047,372336,0,675203,-6.0193563,5.2231956,7027.109,4257.1396,0,7940.7974,11140962,0.034775995,487878,365580,1.8469363
Geo0,10/17/22,830780,672983,358721,335112,1.8599405,1.4560406,9236.626,7694.616,4283.93,3941.1206,10936235,0.034843788,487878,242556,1.3815861
Geo0,10/24/22,1192310,207456,706796,825554,-0.88059616,-0.7310949,13256.122,2371.9683,8440.724,9709.017,9995620,0.03514465,487878,398100,2.0737352
Geo0,10/31/22,821886,1259964,448093,237623,0.38552356,-2.0725923,9137.742,14405.92,5351.2314,2794.5908,8332132.5,0.034562606,487878,187814,1.2652038
Geo0,11/7/22,1558904,974997,510514,575993,-2.3188872,6.4259043,17331.92,11147.723,6096.6777,6774.0273,16866660,0.034629375,487878,338304,1.70259
Geo0,11/14/22,1459431,634123,201617,534668,4.9314585,3.2622523,16225.978,7250.3066,2407.7573,6288.0205,14708398,0.034975287,487878,324831,1.6459882
Geo0,11/21/22,1317782,383807,609460,978268,0.1472888,-2.1757307,14651.122,4388.2944,7278.314,11505.025,9868249,0.034564197,487878,422342,2.3162935
Geo0,11/28/22,947645,1071384,40525,286170,-0.3420354,-3.3886793,10535.933,12249.772,483.959,3365.533,6259824.5,0.034846995,487878,216317,1.3229196
Geo0,12/5/22,1551102,946488,883970,847167,-0.83943486,-2.282382,17245.178,10821.762,10556.576,9963.198,9568287,0.034712747,487878,401721,2.1088443
Geo0,12/12/22,756104,1292861,614052,658885,0.10233688,-0.19429141,8406.377,14782.052,7333.153,7748.8877,12246520,0.035051487,487878,361325,1.8235245
Geo0,12/19/22,1122846,319986,703092,690412,2.8546605,-1.6139584,12483.82,3658.5908,8396.489,8119.6646,11689641,0.035386976,487878,369485,1.8685793
Geo0,12/26/22,644418,458340,307285,589591,-0.43191656,-3.6187859,7164.65,5240.4746,3669.6694,6933.948,6900645.5,0.035109345,487878,342021,1.7238444
Geo0,1/2/23,1736862,892655,739283,1182326,-0.17337842,2.9674625,19310.459,10206.257,8828.69,13904.872,13918747,0.0350619,487878,444556,2.659566
Geo0,1/9/23,734953,478142,521260,817097,1.9015458,3.5136514,8171.219,5466.883,6225.009,9609.557,14091311,0.03540542,487878,396319,2.0617154
Geo0,1/16/23,1002953,160063,824700,598980,-1.3872818,1.0533648,11150.848,1830.0958,9848.761,7044.3687,12078090,0.034591388,487878,345343,1.7344495
Geo0,1/23/23,1129408,1055971,1150361,0,0.7810588,2.294383,12556.776,12073.547,13737.88,0,11877428,0.034567147,487878,0,0
Geo0,1/30/23,1021140,755246,448192,485149,-4.408105,0.8386419,11353.051,8635.178,5352.4136,5705.647,9481888,0.034820613,487878,307720,1.5765923
Geo0,2/6/23,497907,521761,1109049,444185,-2.9890995,3.4359262,5535.7383,5965.605,13244.522,5223.8853,11833832,0.035323486,487878,291932,1.5215359
Geo0,2/13/23,620192,1579978,840830,711013,3.4120793,4.58565,6895.3047,18064.832,10041.389,8361.944,16206597,0.03538255,487878,373818,1.9020299
Geo0,2/20/23,1125725,644583,792861,1069906,-4.202929,2.6819854,12515.829,7369.902,9468.531,12582.744,12414769,0.034715574,487878,433583,2.4675922
Geo0,2/27/23,1420571,642351,166935,839427,-0.76869524,-0.021167561,15793.932,7344.3823,1993.5768,9872.171,11537255,0.034677643,487878,400547,2.0957017
Geo0,3/6/23,1249647,1372455,193093,647981,-2.2497947,-0.78495723,13893.596,15692.097,2305.9617,7620.65,9961240,0.03548587,487878,358666,1.8066418
Geo0,3/13/23,1339535,732146,602226,194119,-5.072732,-0.4835775,14892.972,8371.0625,7191.924,2282.9573,7370863,0.035021972,487878,159865,1.2142683
Geo0,3/20/23,652540,666499,479163,396546,-0.869798,-1.7553402,7254.95,7620.481,5722.277,4663.6216,7556002,0.03474168,487878,271107,1.4626919
Geo0,3/27/23,574473,1026235,578855,246214,3.9432116,1.7728424,6387,11733.558,6912.822,2895.6262,12428641,0.03539973,487878,193194,1.2744392
Geo0,4/3/23,739438,572895,720661,53065,-1.2636005,4.3432007,8221.084,6550.2505,8606.302,624.07666,13715887,0.03492168,487878,50300,1.0549701
Geo0,4/10/23,1157632,345600,961233,10018,2.4186087,0.49328762,12870.571,3951.451,11479.27,117.817764,11542971,0.03466248,487878,9839,1.0181929
Geo0,4/17/23,1159460,1156879,159088,794342,-3.8182082,1.6899946,12890.8955,13227.288,1899.8661,9341.944,11390516,0.035151236,487878,392194,2.0253804
Geo0,4/24/23,764039,698017,630685,469766,0.368374,1.8244226,8494.598,7980.8447,7531.7876,5524.7334,12688625,0.03450536,487878,301158,1.5598656
Geo0,5/1/23,1943138,632511,373431,884252,1.9959383,0.71536076,21603.84,7231.8755,4459.6006,10399.341,12847426,0.03534444,487878,407835,2.1681612
Geo0,5/8/23,781207,922219,270263,0,-1.3795779,-1.911583,8685.472,10544.28,3227.544,0,8207384.5,0.035009917,487878,0,0
Geo0,5/15/23,1713417,1123192,854360,426351,-0.4654355,-0.3552631,19049.799,12842.124,10202.967,5014.1465,9260978,0.034705017,487878,284757,1.4972451
Geo0,5/22/23,905403,669395,1068480,484754,2.9213474,-5.8586345,10066.285,7653.5923,12760.038,5701.0015,7271841,0.035168197,487878,307343,1.5772411
Geo0,5/29/23,943045,570842,983702,702858,-3.9852285,0.6839596,10484.79,6526.7773,11747.6,8266.037,9217271,0.03468569,487878,372326,1.887749
Geo0,6/5/23,1249522,549468,814207,154948,4.620944,0.2912357,13892.206,6282.3955,9723.45,1822.2826,12167149,0.03489017,487878,132476,1.1696308
Geo0,6/12/23,615985,486607,236611,373474,5.8040247,-0.3007322,6848.5312,5563.668,2825.6638,4392.2812,10131363,0.03462404,487878,261439,1.4285321
Geo0,6/19/23,2010300,89176,1098510,279175,3.0554717,-0.4310307,22350.549,1019.6024,13118.663,3283.2676,10170807,0.03482561,487878,212447,1.3140924
Geo0,6/26/23,1203524,989952,202312,295071,2.0441403,5.454676,13380.8,11318.712,2416.0571,3470.214,13562356,0.03537295,487878,220936,1.3355497
Geo0,7/3/23,401501,578944,739200,712167,-1.1331713,-5.9318233,4463.8945,6619.412,8827.699,8375.517,4780102.5,0.035012312,487878,374126,1.9035485
Geo0,7/10/23,1059191,493738,533870,456143,-2.5812685,-6.855961,11776.103,5645.201,6375.6006,5364.5186,3481719.2,0.034740113,487878,297243,1.5345794
Geo0,7/17/23,1067612,328749,59878,412781,-1.2214699,0.6835498,11869.728,3758.7834,715.0771,4854.555,10127626,0.03468438,487878,278952,1.4797564
Geo0,7/24/23,826696,398815,810321,900487,0.4108311,-0.96788144,9191.22,4559.8896,9677.043,10590.274,7357414,0.034746807,487878,410951,2.1912272
Geo0,7/31/23,815348,875798,690521,435382,-0.16572002,-4.76622,9065.053,10013.521,8246.363,5120.357,7823665,0.03517147,487878,287992,1.511785
Geo0,8/7/23,1430780,1180219,339478,0,0.19116743,-1.0282402,15907.436,13494.148,4054.1257,0,9387064,0.03538776,487878,0,0
Geo0,8/14/23,1172322,602187,501179,1027144,0.11878215,1.0552766,13033.895,6885.163,5985.197,12079.837,10750497,0.034942072,487878,428376,2.3977628
Geo0,8/21/23,1330867,781815,267650,1090940,2.098672,5.307834,14796.601,8938.957,3196.3389,12830.117,15763564,0.03526748,487878,435351,2.505886
Geo0,8/28/23,797874,713031,635951,811306,2.3574376,1.894738,8870.776,8152.509,7594.676,9541.451,13868468,0.03475656,487878,395365,2.052043
Geo0,9/4/23,530915,1173500,482697,822599,-3.2585368,0.20639402,5902.7217,13417.326,5764.4805,9674.264,11714710,0.034701575,487878,397248,2.0707443
Geo0,9/11/23,1050626,848314,1108430,894430,0.080466926,2.5510674,11680.877,9699.28,13237.13,10519.04,12374235,0.034552798,487878,410190,2.180526
Geo0,9/18/23,1190572,842283,692040,462807,-1.469487,1.3210948,13236.799,9630.324,8264.504,5442.8916,12561746,0.034980062,487878,298481,1.5505409
Geo0,9/25/23,1034010,1198616,814320,290680,2.1296947,-1.5601637,11496.14,13704.492,9724.8,3418.5732,11952548,0.034541145,487878,218330,1.331379
Geo0,10/2/23,1367110,990152,382212,701652,2.5198872,-1.6671612,15199.551,11320.999,4564.4653,8251.854,10436357,0.035289545,487878,372399,1.8841404
Geo0,10/9/23,1034707,1006629,788566,793994,4.427447,1.2317433,11503.89,11509.39,9417.239,9337.852,14820740,0.034517653,487878,391983,2.0255828
Geo0,10/16/23,1258784,717842,657395,494959,-1.0613412,0.3988533,13995.181,8207.516,7850.7646,5821.0186,12038764,0.035287432,487878,311396,1.5894841
Geo0,10/23/23,1333608,19089,823943,570348,0.40299273,-0.75959146,14827.075,218.25592,9839.72,6707.6387,10330931,0.034729216,487878,336367,1.6956122
Geo0,10/30/23,1403198,693395,745423,0,-1.9822719,0.30661535,15600.778,7927.999,8902.016,0,10918007,0.035065,487878,0,0
Geo0,11/6/23,1063194,460928,91770,838886,-5.7441087,2.2887158,11820.608,5270.065,1095.9388,9865.809,9877489,0.03518217,487878,401051,2.091719
Geo0,11/13/23,896008,859122,896377,519306,-2.5083714,2.4061527,9961.831,9822.8545,10704.744,6107.354,11848887,0.035289615,487878,319682,1.6244456
Geo0,11/20/23,919742,700185,347307,717614,1.3086464,0.44905764,10225.706,8005.633,4147.6216,8439.576,12930333,0.034533683,487878,376178,1.9076447
Geo0,11/27/23,622350,470403,372833,614702,-3.1048484,-1.9838996,6919.2974,5378.3984,4452.459,7229.269,7753259.5,0.035378095,487878,349477,1.7589197
Geo0,12/4/23,1142283,644073,540838,821041,-0.13339391,-4.0313315,12699.921,7364.071,6458.814,9655.94,8016233,0.034505975,487878,397368,2.066198
Geo0,12/11/23,565853,421692,0,807203,2.270694,-0.5270281,6291.1626,4821.456,0,9493.197,10942032,0.034729805,487878,394292,2.0472214
Geo0,12/18/23,1536065,1136089,335810,639744,-3.6641178,3.077084,17077.996,12989.583,4010.3215,7523.778,13969551,0.03488079,487878,356214,1.7959541
Geo0,12/25/23,1065490,689745,868802,95174,-1.6590128,5.059243,11846.135,7886.266,10375.437,1119.3041,13888274,0.03464926,487878,86686,1.0979166
Geo0,1/1/24,1211774,1173873,0,0,5.772514,-1.41901,13472.523,13421.591,0,0,11532075,0.03524379,487878,0,0
Geo0,1/8/24,836566,305098,407998,944580,2.5023575,-0.8181114,9300.954,3488.3674,4872.4077,11108.835,9297790,0.03494015,487878,417418,2.2629116
Geo0,1/15/24,1269842,1263794,509309,988408,2.137631,1.594866,14118.124,14449.711,6082.287,11624.278,11967258,0.035373602,487878,423709,2.332752
Geo1,1/25/21,3032312,1231404,763501,20011,-4.5076785,1.479211,33713.293,14079.377,9117.907,235.3415,19017426,0.035492502,941246.6,19663,1.0176982
Geo1,2/1/21,2785805,1548845,1290322,427115,-2.4102066,-3.5134258,30972.625,17708.87,15409.327,5023.132,12329214,0.035228048,941246.6,342536,1.24692
Geo1,2/8/21,2811866,1705897,993765,557068,-3.9525568,-1.6912923,31262.371,19504.54,11867.774,6551.458,14298232,0.035255168,941246.6,419896,1.3266809
Geo1,2/15/21,3515180,754806,678375,900085,1.8610051,5.9785037,39081.83,8630.147,8101.313,10585.546,29734994,0.03459051,941246.6,579996,1.5518814
Geo1,2/22/21,1612406,1569896,326461,2242924,0.28868115,4.8722363,17926.756,17949.559,3898.6736,26378.148,27560232,0.0353685,941246.6,854186,2.6258028
Geo1,3/1/21,1911401,1240245,1689534,827488,-0.91950536,-1.6942387,21250.986,14180.461,20176.81,9731.762,20612330,0.03537259,941246.6,550328,1.503627
Geo1,3/8/21,2046664,1466532,1373549,782674,2.5660162,1.1235588,22754.844,16767.736,16403.244,9204.722,26163464,0.03476148,941246.6,531661,1.4721298
Geo1,3/15/21,559277,403517,1241221,355922,-0.38393307,-7.054786,6218.051,4613.651,14822.951,4185.859,9493930,0.034719102,941246.6,296358,1.2009866
Geo1,3/22/21,2409120,569856,1995896,695402,0.31273302,0.33130604,26784.635,6515.504,23835.457,8178.35,18823368,0.035206467,941246.6,491182,1.4157726
Geo1,3/29/21,2546191,1139849,1035613,225563,4.1193466,-1.0071052,28308.594,13032.574,12367.532,2652.7578,24053022,0.035467096,941246.6,200726,1.1237358
Geo1,4/5/21,2894123,1442098,857489,874463,2.8575883,0.3081955,32176.906,16488.367,10240.334,10284.216,23519060,0.034912422,941246.6,569105,1.5365583
Geo1,4/12/21,2470216,1392119,1509329,1084496,-2.310902,6.1883698,27463.902,15916.927,18024.76,12754.332,26154282,0.03495161,941246.6,643800,1.6845231
Geo1,4/19/21,2508437,1139802,1455654,809603,1.4276726,3.7899652,27888.844,13032.036,17383.76,9521.423,26052484,0.034616183,941246.6,542594,1.4920973
Geo1,4/26/21,2779048,920278,1070493,237253,0.9909026,-2.6506062,30897.5,10522.088,12784.078,2790.2393,17402292,0.03490221,941246.6,209379,1.133127
Geo1,5/3/21,2082271,1949653,1686670,133759,-3.4575539,-1.4804069,23150.723,22291.547,20142.607,1573.087,14088379,0.034501888,941246.6,124602,1.07349
Geo1,5/10/21,178665,1437356,552660,1210568,3.4835954,0.7938943,1986.4004,16434.148,6599.995,14237.015,21292882,0.035223417,941246.6,681118,1.7773249
Geo1,5/17/21,1997554,1078754,1360052,84086,2.8223357,8.156311,22208.838,12334.038,16242.06,988.9024,30409256,0.03501414,941246.6,80474,1.0448841
