,geo,time,Display_impression,Social_impression,TV_impression,competitor_activity_score_control,sentiment_score_control,Display_spend,Social_spend,TV_spend,Display_reach,Social_reach,TV_reach,Display_frequency,Social_frequency,TV_frequency,conversions,revenue_per_conversion,population
13,Alabama,2021-04-26,667598.0,2.284307e+06,988348.0,-5.3341556,8.213768,7717.942,25412.824,11484.019,509456.5,682268.4,230991.06,1.3104125,3.3481066,4.2787294,1.2628954e+08,0.03455579,5.193088e+06
14,Alabama,2021-05-03,2.514911e+06,1.677804e+06,525651.0,-4.228661,0.21759371,29074.29,18665.502,6107.7534,524333.8,651333.75,211635.3,4.7963934,2.575952,2.4837573,5.8054812e+07,0.034777895,5.193088e+06
15,Alabama,2021-05-10,1.763898e+06,830205.0,447478.0,-0.2861551,1.6770291,20392.006,9235.997,5199.429,469846.6,601908.06,223370.28,3.7542005,1.3792887,2.0033035,1.0569887e+08,0.035420336,5.193088e+06
16,Alabama,2021-05-17,905560.0,1.225683e+06,243990.0,3.012796,-1.1421639,10468.964,13635.675,2835.0193,522047.84,660455.94,71809.59,1.7346303,1.8558134,3.3977284,7.7519976e+07,0.034575075,5.193088e+06
17,Alabama,2021-05-24,1.72446e+06,1.807625e+06,229979.0,3.3537402,-1.6390262,19936.072,20109.756,2672.2197,470636.84,580636.6,146653.03,3.6640985,3.1131773,1.5681814,7.549263e+07,0.034731284,5.193088e+06
18,Alabama,2021-05-31,1.436408e+06,1.987331e+06,889119.0,2.931053,-3.3804846,16605.97,22108.979,10331.036,477893.9,640884.0,208178.66,3.0057054,3.1009219,4.270941,8.978744e+07,0.035492964,5.193088e+06
19,Alabama,2021-06-07,1.028624e+06,1.112541e+06,277965.0,3.7584462,4.788479,11891.678,12376.975,3229.7886,498585.12,692922.06,168078.34,2.0630865,1.6055788,1.6537846,1.3822581e+08,0.034527555,5.193088e+06
20,Alabama,2021-06-14,1.053145e+06,2.389334e+06,586772.0,0.30095214,4.8100057,12175.159,26581.246,6817.943,506492.78,702340.3,215032.98,2.0792885,3.40196,2.728754,1.20211656e+08,0.035186574,5.193088e+06
21,Alabama,2021-06-21,1.844866e+06,1.57193e+06,406532.0,-0.27709788,-1.5145745,21328.057,17487.658,4723.661,460262.06,556934.4,146176.89,4.008295,2.8224683,2.7810936,6.796617e+07,0.035180062,5.193088e+06
22,Alabama,2021-06-28,679750.0,2.736755e+06,726546.0,1.2154,2.0495849,7858.428,30446.291,8442.034,499890.62,598186.75,264509.03,1.3597975,4.575085,2.7467737,1.1849025e+08,0.034599725,5.193088e+06
23,Alabama,2021-07-05,868691.0,905876.0,582114.0,0.7779556,0.6564902,10042.73,10077.834,6763.82,498256.03,609709.5,183518.0,1.7434628,1.4857503,3.1719728,9.148559e+07,0.034894053,5.193088e+06
24,Alabama,2021-07-12,1.48705e+06,3.20955e+06,622996.0,-2.662642,-2.1844032,17191.432,35706.117,7238.8447,471110.97,646330.8,174055.53,3.1564758,4.9658,3.5792935,5.70616e+07,0.034814548,5.193088e+06
25,Alabama,2021-07-19,967058.0,2.722029e+06,180591.0,3.3836567,5.064435,11179.928,30282.465,2098.3604,510345.94,652867.56,188748.33,1.8949064,4.169343,0.9567839,1.3877107e+08,0.034657016,5.193088e+06
26,Alabama,2021-07-26,615628.0,1.680227e+06,252709.0,-2.345783,0.35534564,7117.129,18692.459,2936.3289,502677.66,566103.1,178948.69,1.2246966,2.9680574,1.4121863,7.233317e+07,0.035006896,5.193088e+06
27,Alabama,2021-08-02,2.435628e+06,1.707179e+06,600577.0,-3.2901106,-0.50231373,28157.717,18992.299,6978.349,491280.38,694822.7,203678.47,4.957714,2.4569993,2.948652,7.301755e+07,0.034511972,5.193088e+06
28,Alabama,2021-08-09,1.588204e+06,2.5343e+06,806086.0,-2.1630287,-3.886415,18360.85,28193.986,9366.242,531182.06,618161.75,171982.45,2.9899437,4.0997353,4.6870236,5.019673e+07,0.035234805,5.193088e+06
29,Alabama,2021-08-16,1.324784e+06,2.274866e+06,304449.0,-5.121012,0.9363946,15315.513,25307.793,3537.517,534846.4,649683.2,222849.98,2.4769435,3.5014997,1.3661591,8.2368616e+07,0.035207443,5.193088e+06
30,Alabama,2021-08-23,1.746963e+06,858662.0,933728.0,-5.0174794,-2.0293355,20196.225,9552.58,10849.366,557461.94,664794.25,205752.64,3.1337795,1.291621,4.5381093,4.9421784e+07,0.034615636,5.193088e+06
31,Alabama,2021-08-30,1.36978e+06,944181.0,638739.0,0.3445289,0.7049757,15835.701,10503.976,7421.769,471220.8,619159.3,189528.03,2.9068758,1.5249407,3.3701537,1.1225008e+08,0.035038102,5.193088e+06
32,Alabama,2021-09-06,2.147449e+06,1.176483e+06,976391.0,0.4525726,1.2231144,24826.146,13088.326,11345.085,473237.8,623306.94,205339.64,4.53778,1.8874854,4.755003,9.485096e+07,0.035410333,5.193088e+06
33,Alabama,2021-09-13,1.194134e+06,1.471494e+06,425411.0,0.6270881,4.319868,13805.1,16370.3125,4943.024,526620.06,614378.25,153802.77,2.2675447,2.3950946,2.7659516,1.0468831e+08,0.035300832,5.193088e+06
34,Alabama,2021-09-20,1.236047e+06,941093.0,349063.0,-5.224202,5.841082,14289.6455,10469.622,4055.9053,455418.97,594907.44,112740.836,2.714087,1.5819148,3.0961573,1.02626344e+08,0.035243604,5.193088e+06
35,Alabama,2021-09-27,2.576126e+06,2.585065e+06,665861.0,2.8533459,-0.731914,29781.98,28758.744,7736.9106,503769.0,588280.3,200146.92,5.113705,4.3942747,3.326862,9.307824e+07,0.03525147,5.193088e+06
36,Alabama,2021-10-04,1.847975e+06,2.036464e+06,456445.0,5.6330786,-2.2081323,21364.0,22655.58,5303.6206,536574.25,602581.1,123058.18,3.4440255,3.3795674,3.7091775,9.607278e+07,0.03489937,5.193088e+06
37,Alabama,2021-10-11,666642.0,2.890528e+06,816367.0,0.66804904,-1.7457674,7706.8896,32157.01,9485.701,551822.6,690502.6,197781.03,1.2080733,4.186121,4.12763,8.269016e+07,0.03514837,5.193088e+06
38,Alabama,2021-10-18,594960.0,1.320691e+06,872139.0,4.4342437,2.0236564,6878.191,14692.635,10133.738,528448.75,624582.7,208818.12,1.1258612,2.1145175,4.176548,1.1937583e+08,0.035341755,5.193088e+06
39,Alabama,2021-10-25,1.26434e+06,3.033058e+06,291404.0,-0.44229603,2.432073,14616.734,33742.65,3385.942,446868.56,653951.2,116210.36,2.8293333,4.6380486,2.5075552,1.11019336e+08,0.03506438,5.193088e+06
40,Alabama,2021-11-01,1.062482e+06,673238.0,434403.0,-5.41898,1.7856385,12283.102,7489.746,5047.5054,536945.94,624395.44,222755.36,1.9787501,1.0782241,1.9501331,6.105691e+07,0.035215385,5.193088e+06
41,Alabama,2021-11-08,2.057128e+06,2.684328e+06,639068.0,0.52542377,-1.5738312,23781.969,29863.043,7425.592,489327.6,644769.9,144578.11,4.2039886,4.163234,4.4202275,8.520757e+07,0.03474431,5.193088e+06
42,Alabama,2021-11-15,763783.0,2.957014e+06,158963.0,4.3855,-2.17589,8829.914,32896.664,1847.0559,557218.75,605918.94,103784.41,1.3707054,4.8802147,1.5316631,9.239493e+07,0.03531774,5.193088e+06
43,Alabama,2021-11-22,799288.0,1.601234e+06,682995.0,-0.8793541,1.3043523,9240.379,17813.664,7935.9976,520129.97,588945.75,266651.22,1.5367088,2.718814,2.561381,9.15239e+07,0.035396732,5.193088e+06
44,Alabama,2021-11-29,735097.0,2.311842e+06,717202.0,-0.34297657,-1.411398,8498.281,25719.15,8333.463,485360.4,610333.0,201807.52,1.514538,3.7878368,3.5538905,8.403921e+07,0.03453336,5.193088e+06
45,Alabama,2021-12-06,741152.0,1.379167e+06,272415.0,-1.4837306,0.97000384,8568.282,15343.178,3165.301,540672.6,650505.7,142845.53,1.3707966,2.1201458,1.9070568,9.3704056e+07,0.034834497,5.193088e+06
46,Alabama,2021-12-13,1.54125e+06,1.177962e+06,832884.0,7.8972664,-0.2698489,17818.025,13104.78,9677.619,453167.78,671609.7,230219.19,3.4010582,1.7539392,3.6177866,1.13496616e+08,0.034845345,5.193088e+06
47,Alabama,2021-12-20,822580.0,2.659818e+06,390842.0,3.562859,1.9479021,9509.651,29590.37,4541.3525,520912.53,563378.75,188114.7,1.5791136,4.721189,2.0776775,1.384469e+08,0.03524155,5.193088e+06
48,Alabama,2021-12-27,1.071818e+06,1.924341e+06,961983.0,-0.8609648,3.8883166,12391.033,21408.217,11177.673,496070.84,623887.2,210620.88,2.1606138,3.084438,4.5673656,1.0802097e+08,0.035244916,5.193088e+06
49,Alabama,2022-01-03,815335.0,1.435592e+06,531375.0,2.8120859,2.9653587,9425.895,15970.903,6174.2627,524393.2,689922.0,174685.17,1.5548154,2.0808027,3.0419004,1.0615775e+08,0.035431407,5.193088e+06
50,Alabama,2022-01-10,894015.0,2.740602e+06,899572.0,-5.2391505,2.8252919,10335.495,30489.088,10452.494,531509.75,634189.6,244016.22,1.6820287,4.321424,3.6865244,1.17131704e+08,0.03543526,5.193088e+06
51,Alabama,2022-01-17,1.276332e+06,1.956811e+06,481338.0,-2.2018874,-2.3337488,14755.371,21769.445,5592.8623,496256.88,662237.9,256776.1,2.5719178,2.9548464,1.8745445,6.456792e+07,0.035438776,5.193088e+06
52,Alabama,2022-01-24,1.70804e+06,1.936605e+06,709684.0,6.1085014,-5.240745,19746.244,21544.654,8246.107,520281.1,615228.7,168430.89,3.282917,3.1477807,4.213505,6.502525e+07,0.034635086,5.193088e+06
53,Alabama,2022-01-31,1.43478e+06,2.047085e+06,733168.0,2.3669357,2.9462757,16587.15,22773.738,8518.978,487003.5,584060.1,222541.97,2.946138,3.504922,3.2945163,1.08241496e+08,0.035231568,5.193088e+06
54,Alabama,2022-02-07,799229.0,2.614202e+06,951499.0,0.06882612,1.0508965,9239.696,29082.893,11055.8545,474640.22,688471.25,253535.03,1.6838635,3.7971113,3.7529309,7.777444e+07,0.03462013,5.193088e+06
55,Alabama,2022-02-14,1.025206e+06,2.771576e+06,442648.0,2.0869663,-1.4308629,11852.163,30833.672,5143.3076,542190.75,590776.1,192571.25,1.8908577,4.691416,2.2986197,8.618224e+07,0.03494517,5.193088e+06
56,Alabama,2022-02-21,2.444149e+06,685574.0,956821.0,3.7007122,-0.34879074,28256.227,7626.9834,11117.693,506816.88,648996.56,189452.8,4.822548,1.0563601,5.050445,9.530427e+07,0.03500939,5.193088e+06
57,Alabama,2022-02-28,1.499884e+06,791251.0,201204.0,-2.169689,-1.6725494,17339.803,8802.636,2337.8713,528251.25,679575.1,212712.39,2.8393383,1.1643325,0.94589764,5.613197e+07,0.03455607,5.193088e+06
58,Alabama,2022-03-07,741911.0,1.651606e+06,650405.0,6.3357687,-3.1734724,8577.057,18374.05,7557.321,502956.0,586035.1,153817.94,1.4751021,2.818272,4.2284093,9.890184e+07,0.035252947,5.193088e+06
59,Alabama,2022-03-14,1.981872e+06,3.326124e+06,1.196514e+06,1.9206737,-1.5860943,22911.951,37002.996,13902.784,532510.75,707747.6,247435.33,3.721751,4.6995907,4.8356624,7.400437e+07,0.035379764,5.193088e+06
60,Alabama,2022-03-21,1.313526e+06,2.599585e+06,653674.0,-2.1843648,-0.6016376,15185.362,28920.28,7595.3047,472244.22,689938.25,172152.31,2.781455,3.7678518,3.797068,6.2486184e+07,0.03536954,5.193088e+06
61,Alabama,2022-03-28,1.270107e+06,2.829976e+06,401862.0,0.11934594,-3.246481,14683.405,31483.371,4669.3984,546773.94,649647.2,134393.94,2.3229113,4.3561745,2.9901772,4.934032e+07,0.034986332,5.193088e+06
62,Alabama,2022-04-04,793623.0,1.895598e+06,187003.0,2.3158405,-3.1830118,9174.887,21088.453,2172.864,507393.78,598277.25,209418.38,1.5641161,3.1684272,0.89296144,7.736979e+07,0.03521678,5.193088e+06
63,Alabama,2022-04-11,1.09092e+06,1.445363e+06,1.003434e+06,1.4323362,6.763877,12611.867,16079.605,11659.309,541322.56,629290.6,211645.89,2.0152862,2.2968135,4.741096,1.3415032e+08,0.03519564,5.193088e+06
64,Alabama,2022-04-18,1.50402e+06,2.904657e+06,239660.0,-5.1872144,-2.107018,17387.617,32314.193,2784.7073,471519.62,660545.8,139198.77,3.1897302,4.397359,1.7217126,2.4404502e+07,0.03473588,5.193088e+06
65,Alabama,2022-04-25,1.408188e+06,1.474068e+06,690891.0,-2.7971628,1.2668458,16279.727,16398.947,8027.744,473348.1,691112.75,165763.61,2.9749527,2.132891,4.1679316,8.543361e+07,0.035333544,5.193088e+06
66,Alabama,2022-05-02,2.004859e+06,2.065969e+06,687433.0,0.40229702,1.1154053,23177.7,22983.822,7987.5645,540583.06,706744.56,220134.25,3.7086966,2.923219,3.1227915,6.0454004e+07,0.035273485,5.193088e+06
67,Alabama,2022-05-09,626666.0,2.637608e+06,180773.0,-0.71079844,-2.3898094,7244.737,29343.283,2100.475,507447.78,607972.5,129348.664,1.234936,4.338368,1.3975631,5.8705916e+07,0.035383917,5.193088e+06
68,Alabama,2022-05-16,1.17125e+06,1.814023e+06,413866.0,-0.8210299,-3.2420158,13540.543,20180.934,4808.878,556871.06,680906.7,149787.83,2.1032698,2.6641283,2.7630148,6.355893e+07,0.035146564,5.193088e+06
69,Alabama,2022-05-23,951662.0,1.286509e+06,206079.0,0.08991734,-1.6790582,11001.938,14312.361,2394.5159,531717.0,625937.4,87853.055,1.7897905,2.0553315,2.3457224,5.6500396e+07,0.034979478,5.193088e+06
70,Alabama,2022-05-30,2.365585e+06,936771.0,522118.0,-3.9287543,3.892019,27347.967,10421.54,6066.7017,544682.75,550063.5,149085.61,4.3430514,1.7030237,3.5021346,9.827723e+07,0.034529354,5.193088e+06
71,Alabama,2022-06-06,1.336199e+06,3.233801e+06,470823.0,5.6039553,5.2663755,15447.4795,35975.906,5470.6846,570439.2,687859.2,214277.23,2.3424037,4.701254,2.19726,1.3235129e+08,0.03492625,5.193088e+06
72,Alabama,2022-06-13,1.508363e+06,687799.0,276618.0,-3.209056,2.8089485,17437.826,7651.7363,3214.1372,543169.75,626794.5,146943.14,2.776965,1.0973274,1.8824844,8.008859e+07,0.03509145,5.193088e+06
73,Alabama,2022-06-20,1.770172e+06,1.169057e+06,506436.0,3.7013655,-8.173003,20464.537,13005.713,5884.4863,479475.88,631833.4,131217.47,3.6918902,1.8502619,3.8595133,4.380609e+07,0.034524065,5.193088e+06
74,Alabama,2022-06-27,962278.0,999560.0,224028.0,4.056798,-1.9022309,11124.667,11120.065,2603.0728,499005.38,626783.3,148727.28,1.9283916,1.5947465,1.5062993,6.679146e+07,0.034701478,5.193088e+06
75,Alabama,2022-07-04,1.491175e+06,2.493608e+06,283752.0,3.2722645,-3.9424357,17239.12,27741.29,3297.0303,476101.84,643547.1,148868.12,3.1320496,3.8747869,1.9060619,7.7991624e+07,0.03473524,5.193088e+06
76,Alabama,2022-07-11,1.903682e+06,2.346977e+06,457638.0,1.456529,-5.2837415,22008.016,26110.025,5317.4824,486605.97,655893.06,190398.31,3.9121635,3.5782924,2.4035828,5.2922116e+07,0.035482064,5.193088e+06
77,Alabama,2022-07-18,808897.0,650957.0,575297.0,2.551004,-2.6479063,9351.466,7241.8706,6684.6104,552723.9,755790.9,209640.22,1.4634737,0.8612924,2.7442112,9.2265384e+07,0.034792922,5.193088e+06
78,Alabama,2022-07-25,2.456334e+06,2.323386e+06,304387.0,-3.879183,-0.5514267,28397.094,25847.576,3536.7966,498133.1,615578.3,250063.88,4.93108,3.7743144,1.2172381,5.439706e+07,0.03466042,5.193088e+06
79,Alabama,2022-08-01,2.144486e+06,2.249651e+06,746685.0,1.4777315,-1.1842704,24791.893,25027.277,8676.037,516163.4,635505.5,211571.66,4.1546645,3.539939,3.5292306,8.538903e+07,0.034766395,5.193088e+06
80,Alabama,2022-08-08,1.993818e+06,1.004539e+06,201825.0,1.2992761,4.0069017,23050.057,11175.456,2345.087,532028.25,656295.9,109348.88,3.7475793,1.5306197,1.8456951,1.1245483e+08,0.035134763,5.193088e+06
81,Alabama,2022-08-15,836060.0,914380.0,1.228357e+06,-4.582843,1.1141329,9665.491,10172.441,14272.781,482829.22,628504.44,245836.89,1.7315847,1.4548504,4.9966335,7.969455e+07,0.035294693,5.193088e+06
82,Alabama,2022-08-22,852947.0,2.887798e+06,807080.0,5.1945705,1.8690643,9860.718,32126.637,9377.792,528225.8,640260.94,235954.2,1.61474,4.5103445,3.420495,1.3422282e+08,0.035146605,5.193088e+06
83,Alabama,2022-08-29,1.401178e+06,1.2382e+06,218212.0,-5.040365,-3.3425682,16198.686,13774.926,2535.4941,525942.44,655642.3,158405.06,2.6641288,1.8885293,1.3775549,3.3253618e+07,0.034949977,5.193088e+06
84,Alabama,2022-09-05,491851.0,2.713285e+06,498148.0,-1.5757759,-2.0133781,5686.1724,30185.188,5788.1846,444995.28,632107.5,131115.97,1.1052948,4.2924423,3.7992938,6.176695e+07,0.035477247,5.193088e+06
85,Alabama,2022-09-12,2.410123e+06,1.261702e+06,439938.0,0.63220155,0.94864166,27862.86,14036.385,5111.819,526855.75,683101.7,237254.44,4.57454,1.847019,1.8542861,1.1399744e+08,0.035450075,5.193088e+06
86,Alabama,2022-09-19,973030.0,2.265334e+06,506610.0,-1.0015681,-0.56940675,11248.969,25201.75,5886.5083,512881.38,700949.0,176203.67,1.8971838,3.2318094,2.875141,9.005612e+07,0.03521566,5.193088e+06
87,Alabama,2022-09-26,635405.0,1.60928e+06,602682.0,-2.6783273,2.1707942,7345.766,17903.176,7002.808,558952.3,569565.75,245239.33,1.1367784,2.8254516,2.4575238,7.817401e+07,0.035313856,5.193088e+06
88,Alabama,2022-10-03,944351.0,2.139252e+06,652705.0,-2.0501316,-1.1668619,10917.417,23799.094,7584.0454,456839.12,656716.0,174909.62,2.0671403,3.2575,3.7316704,5.0871212e+07,0.034854125,5.193088e+06
89,Alabama,2022-10-10,2.053485e+06,1.026644e+06,187604.0,4.4091573,0.27333903,23739.852,11421.374,2179.8474,502383.97,604036.44,45203.766,4.087481,1.6996386,4.1501875,1.1122541e+08,0.03481157,5.193088e+06
90,Alabama,2022-10-17,1.939857e+06,2.002749e+06,385630.0,-0.16470076,-4.275053,22426.227,22280.502,4480.792,460987.75,632413.0,312605.47,4.208044,3.1668367,1.2335995,3.2537828e+07,0.034810442,5.193088e+06
91,Alabama,2022-10-24,1.326396e+06,1.329515e+06,1.063814e+06,0.7764002,-0.5028752,15334.148,14790.802,12360.889,417338.94,623952.4,264858.16,3.1782236,2.130796,4.0165424,8.8194216e+07,0.035085298,5.193088e+06
92,Alabama,2022-10-31,2.183668e+06,935799.0,503044.0,-0.58185124,0.24200743,25244.867,10410.727,5845.073,532867.06,738556.0,113287.01,4.0979605,1.2670656,4.4404364,8.522535e+07,0.03548684,5.193088e+06
93,Alabama,2022-11-07,1.125916e+06,1.940429e+06,985179.0,10.656319,3.1399708,13016.447,21587.195,11447.196,454162.28,626238.0,271429.62,2.4791052,3.0985487,3.6295924,1.6768035e+08,0.034817744,5.193088e+06
94,Alabama,2022-11-14,1.343233e+06,2.77676e+06,921160.0,-0.46951592,-0.46208712,15528.798,30891.344,10703.334,521919.5,654969.7,212468.38,2.5736408,4.2395244,4.3355136,7.392689e+07,0.03482891,5.193088e+06
95,Alabama,2022-11-21,774353.0,1.304963e+06,619724.0,-4.4169674,-1.2866662,8952.111,14517.661,7200.8257,497683.9,655546.9,263074.88,1.5559139,1.9906482,2.3556957,3.2555104e+07,0.035045307,5.193088e+06
96,Alabama,2022-11-28,795030.0,1.355941e+06,340518.0,1.8535593,-2.168736,9191.153,15084.79,3956.6174,491181.38,653349.1,218579.67,1.6186069,2.0753698,1.557867,7.582589e+07,0.034699637,5.193088e+06
97,Alabama,2022-12-05,1.38648e+06,877764.0,501904.0,-0.97843355,3.4268568,16028.766,9765.09,5831.827,505854.7,644386.7,194473.97,2.7408652,1.3621696,2.580827,1.13901016e+08,0.03479118,5.193088e+06
98,Alabama,2022-12-12,2.48225e+06,1.589806e+06,674112.0,-1.1699363,6.3984647,28696.703,17686.53,7832.782,558293.7,630370.44,177137.48,4.446136,2.5220191,3.8055873,1.4494994e+08,0.035287008,5.193088e+06
99,Alabama,2022-12-19,2.284456e+06,2.740236e+06,999166.0,1.991532,-4.5184913,26410.053,30485.016,11609.717,452602.25,590176.06,251712.4,5.047381,4.643082,3.9694765,6.1205188e+07,0.03509625,5.193088e+06
100,Alabama,2022-12-26,1.001984e+06,1.965476e+06,708798.0,-1.9033574,-2.240675,11583.699,21865.842,8235.8125,520806.78,634711.25,240205.88,1.9239074,3.0966454,2.9507954,5.2729744e+07,0.034774654,5.193088e+06
101,Alabama,2023-01-02,735466.0,1.019358e+06,529016.0,-7.989155,0.8044737,8502.548,11340.317,6146.8525,522706.78,645332.3,201248.33,1.4070328,1.5795869,2.6286736,5.5746292e+07,0.034724433,5.193088e+06
102,Alabama,2023-01-09,1.278201e+06,1.618342e+06,607783.0,-2.8956044,1.1720018,14776.978,18003.99,7062.0786,481048.84,708253.8,140701.7,2.657113,2.2849748,4.319655,6.33681e+07,0.035008766,5.193088e+06
103,Alabama,2023-01-16,769403.0,1.367945e+06,747802.0,2.542035,0.15170543,8894.885,15218.334,8689.017,521568.44,680953.94,237622.2,1.4751725,2.008866,3.1470206,8.9683784e+07,0.034691676,5.193088e+06
104,Alaska,2021-01-25,11874.0,16738.0,16268.0,2.704144,4.0153837,137.27249,186.20958,189.02452,2981.0745,9376.406,7090.3623,3.982961,1.7851467,2.2943158,1.9677116e+07,0.035450336,737270.0
105,Alaska,2021-02-01,19588.0,47203.0,28325.0,-4.9323864,6.274542,226.45221,525.1315,329.11972,5329.72,14473.184,6419.372,3.6752784,3.2613928,4.412349,1.3888309e+07,0.03483884,737270.0
106,Alaska,2021-02-08,43312.0,174213.0,88098.0,1.5361989,-3.4850612,500.71973,1938.1127,1023.6466,19210.293,38592.44,23623.15,2.2546275,4.514185,3.7293067,1.2466528e+07,0.0353514,737270.0
107,Alaska,2021-02-15,94132.0,176074.0,63616.0,-1.3034886,-6.0203247,1088.2377,1958.8163,739.18024,20577.299,42347.77,21390.068,4.5745783,4.1578026,2.9741066,4.8159525e+06,0.03531076,737270.0
108,Alaska,2021-02-22,93567.0,91538.0,18146.0,1.568922,-2.2275434,1081.7058,1018.3566,210.84578,29222.275,58440.457,6050.283,3.2019117,1.5663412,2.999276,9.919729e+06,0.035253514,737270.0
109,Alaska,2021-03-01,95898.0,246122.0,30239.0,-1.9386127,-0.22908136,1108.6539,2738.0974,351.35928,43852.98,62748.277,20975.646,2.186816,3.9223754,1.441644,5.674786e+06,0.0347945,737270.0
110,Alaska,2021-03-08,56063.0,223509.0,79041.0,0.72929454,-0.32804692,648.13104,2486.5288,918.4096,44356.312,99769.69,18964.906,1.2639303,2.2402465,4.1677384,1.2048381e+07,0.03537645,737270.0
111,Alaska,2021-03-15,232188.0,468702.0,51013.0,-0.22785576,5.066373,2684.2703,5214.291,592.74084,53298.36,107901.945,15098.191,4.3563733,4.3437743,3.378759,1.5542571e+07,0.03533487,737270.0
112,Alaska,2021-03-22,77719.0,285258.0,38576.0,-0.84102577,-0.3211758,898.4909,3173.484,448.2303,63296.168,119735.19,15472.869,1.2278686,2.3824048,2.4931648,1.1247107e+07,0.03494533,737270.0
113,Alaska,2021-03-29,132162.0,614588.0,183195.0,1.4002658,-4.1563735,1527.8934,6837.267,2128.6174,77537.055,125302.04,41597.293,1.7045001,4.9048514,4.404001,8.1618465e+06,0.034731597,737270.0
114,Alaska,2021-04-05,332304.0,568879.0,93814.0,1.5330253,5.933515,3841.6875,6328.7563,1090.0631,78086.92,150762.02,50564.254,4.25557,3.77336,1.8553416,2.0617726e+07,0.03494698,737270.0
115,Alaska,2021-04-12,188571.0,529853.0,144140.0,-0.70082283,-1.0212293,2180.0244,5894.5938,1674.8214,74098.11,132475.38,35984.496,2.5448768,3.9996321,4.005618,8.872239e+06,0.03513983,737270.0
116,Alaska,2021-04-19,177147.0,195880.0,186437.0,-2.395671,-0.6995372,2047.9543,2179.1572,2166.2876,75628.695,135017.22,41537.234,2.3423266,1.4507755,4.4884286,6.3061175e+06,0.034778047,737270.0
117,Alaska,2021-04-26,349424.0,572603.0,176568.0,0.40958577,-0.48006165,4039.608,6370.1855,2051.6155,81231.26,154351.9,45329.05,4.3015985,3.7097263,3.8952413,1.4112835e+07,0.035302833,737270.0
118,Alaska,2021-05-03,163776.0,606525.0,120699.0,0.2945138,1.7552366,1893.3754,6747.5664,1402.4509,83603.41,147353.45,41530.727,1.9589691,4.116123,2.9062622,1.3366602e+07,0.03454177,737270.0
